,Title,Career,Education,Work_area,pay,Employment_type,Company_name,Sectors
90,장앤장세무회계 사무소 경력직(3년이상) 직원 모집합니다.,경력 (최소 3년 0 개월 이상) 필수,학력무관,"경기도 평택시 고덕면 고덕중앙로 320, 204호 (원희캐슬고덕 지식산업센터)","연봉 2,800만원 이상",기간의 정함이 없는 근로계약,장앤장세무회계사무소,세무사업
91,사서(1명),관계없음,대졸(2~3년),서울특별시 동작구 사당로 143 (사당동) 총신대학교 사당캠퍼스,월급 200만원 ~ 200만원,기간의 정함이 있는 근로계약,총신대학교,대학교
92,재가요양보호사(주안동 오후재가),관계없음,학력무관,"인천광역시 미추홀구 염전로 414, . (주안동, 주안역 센트레빌)","시급 12,500원 이상",기간의 정함이 없는 근로계약(시간(선택)제),사랑재가복지센터,방문 복지서비스 제공업
93,올바른식단연구소에서 근무할 영양사 구합니다.,관계없음,대졸(2~3년) ~ 대졸(4년),제주특별자치도 제주시 도리로 22-9,월급 220만원 이상,기간의 정함이 없는 근로계약,올바른식단연구소,도시락류 제조업
94,제2022-3호 김제시정신건강복지센터 직원채용 모집 공고,관계없음,학력무관,"전라북도 김제시 성산길 138, 보건소 2층",월급 191만원 ~ 300만원,기간의 정함이 있는 근로계약,김제시정신건강복지센터,그 외 기타 보건업
95,수완센트럴병원 임상병리사(종합검진실) 채용,관계없음,학력무관,"광주광역시 광산구 수완로 6, 수완센트럴병원","시급 9,160원 ~ 9,160원",기간의 정함이 없는 근로계약,수완센트럴병원,일반 병원
96,노아베이커리 매장 판매직원 모집,관계없음,학력무관,"서울특별시 강남구 압구정로30길 9, 1층 (신사동)",월급 220만원 ~ 220만원,기간의 정함이 없는 근로계약,(주)노아에프엔비,제과점업
97,경리회계 경력자 모집,경력 (최소 2년 0 개월 이상) 우대,학력무관,"서울특별시 동작구 신대방1가길 38, 106동 213호(상가) (신대방동, 동작상떼빌아파트)","연봉 2,300만원 이상",기간의 정함이 없는 근로계약,주식회사 창신,그 외 기타 달리 분류되지 않은 제품 제조업
98,[라인테크닉스] NCT LASER 프로그래머 정규직 채용모집,관계없음,고졸 ~ 대졸(4년),"경기도 안산시 단원구 엠티브이22로 86, (성곡동 823-1, 시화 MTV 4사 502호) (성곡동)",월급 250만원 ~ 400만원,기간의 정함이 없는 근로계약,라인테크닉스(주),유선 통신장비 제조업
99,(주)그레이스제이 대표이사 수행기사 채용,관계없음,학력무관,"서울특별시 구로구 디지털로34길 43, B103호 (구로동)","연봉 3,200만원 이상",기간의 정함이 없는 근로계약,주식회사 그레이스제이,기타 정보기술 및 컴퓨터운영 관련 서비스업
